Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
CPEB2,12,8,263,96,0.202005484,0.066499119,0.003486253,0.0031523,0.725593668,0.111111111,0.970479705,0.6,0.111111111,0.1875
LRRC4,13,10,261,95,0.200694689,0.068030715,0.003747863,0.004597695,0.722955145,0.12037037,0.963099631,0.565217391,0.12037037,0.198473282
NRK,10,6,265,98,0.200562828,0.057420931,0.003960283,0.005174513,0.725593668,0.092592593,0.977859779,0.625,0.092592593,0.161290323
ASH1L,15,13,258,93,0.200641828,0.074101406,0.004020453,0.004554726,0.720316623,0.138888889,0.95202952,0.535714286,0.138888889,0.220588235
KMT2C,12,9,262,96,0.199838933,0.063491621,0.005106901,0.006076802,0.722955145,0.111111111,0.966789668,0.571428571,0.111111111,0.186046512
SHC1,12,9,262,96,0.199838933,0.063491621,0.005106901,0.006076802,0.722955145,0.111111111,0.966789668,0.571428571,0.111111111,0.186046512
CTCF,17,17,254,91,0.199342113,0.077164598,0.005271969,0.006680741,0.715039578,0.157407407,0.937269373,0.5,0.157407407,0.23943662
FGFR2,17,17,254,91,0.199342113,0.077164598,0.005271969,0.006680741,0.715039578,0.157407407,0.937269373,0.5,0.157407407,0.23943662
QKI,11,8,263,97,0.199010075,0.058952527,0.007106655,0.007999354,0.722955145,0.101851852,0.970479705,0.578947368,0.101851852,0.173228346
WASF1,6,2,269,102,0.199089549,0.039264555,0.007949338,0.010792492,0.725593668,0.055555556,0.992619926,0.75,0.055555556,0.103448276
ATRX,10,7,264,98,0.198213368,0.054413433,0.01018364,0.010480355,0.722955145,0.092592593,0.974169742,0.588235294,0.092592593,0.16
NFIA,10,7,264,98,0.198213368,0.054413433,0.01018364,0.010480355,0.722955145,0.092592593,0.974169742,0.588235294,0.092592593,0.16
NIPBL,10,7,264,98,0.198213368,0.054413433,0.01018364,0.010480355,0.722955145,0.092592593,0.974169742,0.588235294,0.092592593,0.16
SLC6A6,10,7,264,98,0.198213368,0.054413433,0.01018364,0.010480355,0.722955145,0.092592593,0.974169742,0.588235294,0.092592593,0.16
CTNNB1,25,34,237,83,0.196462275,0.086409869,0.012321559,0.015826695,0.691292876,0.231481481,0.874538745,0.423728814,0.231481481,0.299401198
CHD3,10,8,263,98,0.196189429,0.051405936,0.014507394,0.019364871,0.720316623,0.092592593,0.970479705,0.555555556,0.092592593,0.158730159
SCAF4,10,8,263,98,0.196189429,0.051405936,0.014507394,0.019364871,0.720316623,0.092592593,0.970479705,0.555555556,0.092592593,0.158730159
ZNF644,10,8,263,98,0.196189429,0.051405936,0.014507394,0.019364871,0.720316623,0.092592593,0.970479705,0.555555556,0.092592593,0.158730159
AMMECR1,7,4,267,101,0.196131078,0.040796152,0.01483026,0.022530424,0.722955145,0.064814815,0.985239852,0.636363636,0.064814815,0.117647059
KIAA1024,9,6,265,99,0.197457075,0.049874339,0.015152552,0.013650006,0.722955145,0.083333333,0.977859779,0.6,0.083333333,0.146341463
MED13,9,6,265,99,0.197457075,0.049874339,0.015152552,0.013650006,0.722955145,0.083333333,0.977859779,0.6,0.083333333,0.146341463
NFE2L2,6,3,268,102,0.195633386,0.036257058,0.018306908,0.028248355,0.722955145,0.055555556,0.988929889,0.666666667,0.055555556,0.102564103
ELMSAN1,9,7,264,99,0.195356168,0.046866842,0.020321087,0.025743986,0.720316623,0.083333333,0.974169742,0.5625,0.083333333,0.14516129
CSMD3,13,13,258,95,0.195594668,0.059008222,0.021933886,0.021911971,0.715039578,0.12037037,0.95202952,0.5,0.12037037,0.194029851
PID1,11,10,261,97,0.195316342,0.052937532,0.02225151,0.024691067,0.7176781,0.101851852,0.963099631,0.523809524,0.101851852,0.170542636
MAN2A1,7,5,266,101,0.193776058,0.037788654,0.043880186,0.045288578,0.720316623,0.064814815,0.981549815,0.583333333,0.064814815,0.116666667
AMOT,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
WTAP,9,9,262,99,0.192034394,0.040851846,0.057504927,0.071324068,0.715039578,0.083333333,0.966789668,0.5,0.083333333,0.142857143
SOX17,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
PIK3R1,16,23,248,92,0.19062869,0.051573019,0.090317758,0.100402181,0.696569921,0.148148148,0.915129151,0.41025641,0.148148148,0.217687075
FBXW7,8,35,236,100,0.189413757,0.04488969,0.152235541,0.178076243,0.643799472,0.074074074,0.870848708,0.186046512,0.074074074,0.105960265
AKT1,0,6,265,108,0.192370489,0.018044987,0.189221559,0.270074737,0.699208443,0,0.977859779,0,0,0
GRIN2A,2,1,270,106,0.188234966,0.012085686,0.19663041,0.407436118,0.7176781,0.018518519,0.996309963,0.666666667,0.018518519,0.036036036
MB21D2,2,1,270,106,0.188234966,0.012085686,0.19663041,0.407436118,0.7176781,0.018518519,0.996309963,0.666666667,0.018518519,0.036036036
NYAP2,2,1,270,106,0.188234966,0.012085686,0.19663041,0.407436118,0.7176781,0.018518519,0.996309963,0.666666667,0.018518519,0.036036036
PCDHGA1,2,1,270,106,0.188234966,0.012085686,0.19663041,0.407436118,0.7176781,0.018518519,0.996309963,0.666666667,0.018518519,0.036036036
EYS,6,7,264,102,0.188227976,0.024227066,0.207443989,0.261592089,0.712401055,0.055555556,0.974169742,0.461538462,0.055555556,0.099173554
TPTE,9,16,255,99,0.185985635,0.019799361,0.369945819,0.528157935,0.696569921,0.083333333,0.94095941,0.36,0.083333333,0.135338346
OR2L3,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
RBM46,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
PDS5B,4,7,264,104,0.185261961,0.009133882,0.516504611,0.804354794,0.707124011,0.037037037,0.974169742,0.363636364,0.037037037,0.067226891
CHD4,7,23,248,101,0.185478255,0.016346308,0.673916041,0.658441624,0.672823219,0.064814815,0.915129151,0.233333333,0.064814815,0.101449275
SCN2A,3,6,265,105,0.184832217,0.004594788,0.718304325,0.961466524,0.707124011,0.027777778,0.977859779,0.333333333,0.027777778,0.051282051
MUC4,2,8,263,106,0.185378719,0.008966799,0.73099332,0.803969054,0.699208443,0.018518519,0.970479705,0.2,0.018518519,0.033898305
SPOP,4,8,263,104,0.184899574,0.006126385,0.74783199,0.958289886,0.704485488,0.037037037,0.970479705,0.333333333,0.037037037,0.066666667
PIK3CA,43,110,161,65,0.184673512,0.006321315,0.908198765,0.981691348,0.538258575,0.398148148,0.594095941,0.281045752,0.398148148,0.329501916
IGFN1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF507,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
INSC,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
