mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MYO7A|4647,443.7019222,-0.377896647,0.137578339,-2.746774307,0.006018453,0.019798821
ZGPAT|84619,2040.471175,-0.378005595,0.075788718,-4.987623555,6.11E-07,7.79E-06
HOMER3|9454,507.1221375,-0.378203391,0.122467326,-3.088198315,0.00201374,0.007968101
SH3BP5|9467,887.1046881,-0.378383896,0.109943148,-3.441632364,0.000578216,0.002779968
TP53INP2|58476,2102.324326,-0.378451003,0.12698146,-2.980364244,0.002879058,0.010677931
DENND2C|163259,45.52668554,-0.378972954,0.120142724,-3.154356258,0.001608526,0.006594363
C2|717,5921.271013,-0.379072753,0.12576081,-3.014235929,0.002576274,0.009742875
ASXL1|171023,3858.093046,-0.380326224,0.070777644,-5.373536048,7.72E-08,1.32E-06
TMEM217|221468,19.65722584,-0.380378857,0.108010557,-3.521682207,0.000428818,0.002173764
C5orf42|65250,274.4567236,-0.380405799,0.113134069,-3.362433619,0.000772587,0.003544436
LOC283070|283070,810.1628406,-0.380529782,0.15297608,-2.487511662,0.012864024,0.037068407
SOAT1|6646,1104.690962,-0.380708997,0.113104301,-3.365999303,0.000762669,0.003511016
PGAM2|5224,33.91619238,-0.380787139,0.141423263,-2.692535377,0.007091101,0.022740193
CABYR|26256,38.9622548,-0.381399681,0.133551651,-2.855821527,0.004292564,0.014900657
SPN|6693,354.6784956,-0.382155852,0.156703556,-2.438718443,0.014739447,0.041392988
CAMK1D|57118,306.3331722,-0.383220423,0.146991968,-2.607084107,0.009131693,0.027939962
C2orf52|151477,9.099496065,-0.383545228,0.156352821,-2.453075194,0.014164073,0.040018808
KANK3|256949,126.4393546,-0.383586331,0.101368226,-3.784088428,0.000154273,0.000914119
HDAC5|10014,2129.506492,-0.383895719,0.081432758,-4.714266465,2.43E-06,2.57E-05
KCNAB1|7881,44.39086572,-0.384455191,0.113983564,-3.372900247,0.000743809,0.003436057
GPR65|8477,89.49642447,-0.384506168,0.144421457,-2.662389475,0.007758805,0.024504514
ELMO2|63916,1899.765776,-0.38473207,0.064790959,-5.938051786,2.88E-09,7.78E-08
OXCT2|64064,17.76015672,-0.38480846,0.112006277,-3.435597284,0.000591249,0.002836124
RRN3P3|100131998,104.1718578,-0.384958197,0.066268653,-5.809054182,6.28E-09,1.54E-07
LOC100289341|100289341,77.52298914,-0.385360581,0.11321284,-3.403859315,0.00066441,0.003120447
LCA5|167691,120.6319658,-0.385431301,0.108503825,-3.552237005,0.000381971,0.001970247
EPM2AIP1|9852,876.954447,-0.385799733,0.125092836,-3.084107337,0.002041639,0.00806254
TLE2|7089,1872.352789,-0.385965184,0.14421298,-2.676355373,0.007442768,0.023658234
ALG10B|144245,361.8058398,-0.386253526,0.124803304,-3.094898248,0.001968804,0.007821245
LOC399744|399744,231.3505269,-0.386473552,0.107391369,-3.598739409,0.000319763,0.001695738
RASSF5|83593,664.4324497,-0.387492941,0.141864384,-2.731432165,0.006305972,0.020558662
FOXO1|2308,1259.023688,-0.38865793,0.09845373,-3.947620184,7.89E-05,0.000513661
ZFP41|286128,765.4699043,-0.388671312,0.087004631,-4.467248537,7.92E-06,7.09E-05
FKBP10|60681,4846.729568,-0.388793708,0.15030868,-2.586635097,0.009691817,0.029321778
SLC17A9|63910,1951.580786,-0.389048006,0.151424597,-2.56925238,0.01019182,0.030580048
UNC5B|219699,1902.310309,-0.389387349,0.123550337,-3.151649431,0.001623511,0.006644897
SYP|6855,109.1149631,-0.389813249,0.140786224,-2.768830907,0.005625782,0.018722649
CSF1|1435,657.0822287,-0.389944812,0.125322132,-3.111539892,0.001861143,0.007476726
CDON|50937,261.2978449,-0.389949091,0.128345787,-3.038269497,0.002379411,0.009130947
HCK|3055,585.8868676,-0.390090259,0.152270748,-2.561820081,0.010412524,0.031139474
LOC100128640|100128640,49.23454875,-0.390373479,0.113771438,-3.431208094,0.000600899,0.002877583
DUSP1|1843,4574.417392,-0.390450979,0.146798242,-2.659779667,0.007819178,0.024675387
MFGE8|4240,3704.347564,-0.390830155,0.123048695,-3.176223497,0.00149206,0.006185366
PEA15|8682,6147.252729,-0.390886664,0.063805333,-6.126238131,9.00E-10,2.94E-08
DKK3|27122,2692.956028,-0.391825628,0.120499866,-3.251668594,0.001147297,0.004940493
ACVRL1|94,2366.036862,-0.391905286,0.113528509,-3.452042916,0.000556359,0.002689406
C20orf108|116151,4611.061809,-0.392364469,0.106380242,-3.688320902,0.000225739,0.001260985
SEPT5|5413,322.2269595,-0.392482825,0.127504013,-3.078199782,0.002082552,0.008192415
HOXA3|3200,658.5944981,-0.393107609,0.139398582,-2.820025892,0.004801977,0.016392958
LST1|7940,163.8023238,-0.394188694,0.144323824,-2.731279433,0.006308895,0.020561488
SOCS3|9021,2778.753024,-0.394342035,0.130040567,-3.032453975,0.002425741,0.009264164
WWC2|80014,485.6115621,-0.394343022,0.137262027,-2.872921446,0.004066952,0.014233621
TNS3|64759,6963.10324,-0.394460855,0.078904724,-4.999204566,5.76E-07,7.39E-06
FMNL3|91010,1301.28649,-0.395132197,0.099551747,-3.969113653,7.21E-05,0.00047563
CORO6|84940,19.33665436,-0.395780826,0.163913241,-2.414575078,0.015753576,0.043731262
HSPG2|3339,17179.78718,-0.396039115,0.113824751,-3.479376074,0.000502583,0.002479193
FLJ39739|388685,7.7447737,-0.396216294,0.15624737,-2.535826968,0.011218215,0.033127859
DOK3|79930,251.6032922,-0.397145831,0.12968167,-3.062466978,0.002195207,0.008552454
PBXIP1|57326,3911.200034,-0.397151349,0.085305445,-4.655638933,3.23E-06,3.28E-05
LOC148709|148709,67.76405254,-0.397319552,0.144307928,-2.75327598,0.005900213,0.019486783
ANKDD1A|348094,94.3336683,-0.397335301,0.100793034,-3.942090899,8.08E-05,0.000524627
SLC2A10|81031,1018.822397,-0.397428113,0.150569884,-2.639492716,0.008303021,0.025863522
SCAND1|51282,2621.710263,-0.398165183,0.089595916,-4.444010396,8.83E-06,7.78E-05
CEBPA|1050,3414.384201,-0.3982708,0.113417331,-3.511551513,0.000445499,0.002242409
MEX3A|92312,898.552799,-0.399102947,0.147862375,-2.699151463,0.006951653,0.022339572
ETS1|2113,3131.71563,-0.399287549,0.11566156,-3.452206138,0.000556023,0.002688937
TGIF2|60436,2047.918124,-0.39940863,0.097023992,-4.116596543,3.85E-05,0.000278098
SNHG11|128439,556.3264009,-0.399410835,0.093047131,-4.292564769,1.77E-05,0.000142537
SLCO2A1|6578,1101.167313,-0.399476008,0.147750114,-2.703727242,0.006856655,0.022069754
LOC100134259|100134259,10.28095955,-0.399517846,0.129728114,-3.079655083,0.002072404,0.008159863
COMMD7|149951,3121.55687,-0.400103035,0.086578037,-4.621299466,3.81E-06,3.77E-05
LGALS1|3956,6011.156264,-0.400201381,0.12169639,-3.288523043,0.001007145,0.004415894
GPR113|165082,20.33121902,-0.400409146,0.163080257,-2.45528891,0.01407714,0.039835099
S1PR4|8698,93.02284703,-0.400540611,0.162291468,-2.468032467,0.0135858,0.038702111
ZCWPW2|152098,11.30302359,-0.400869041,0.127463252,-3.144977345,0.001660997,0.006783054
PSIMCT-1|100101490,64.06227813,-0.401457223,0.114794266,-3.497188814,0.000470189,0.002346603
PALLD|23022,5732.403562,-0.401478476,0.115274923,-3.482791091,0.000496215,0.002455659
S1PR5|53637,26.67363842,-0.402715639,0.108204369,-3.721805706,0.000197803,0.001130837
TM4SF18|116441,78.83001404,-0.402741333,0.117748974,-3.420338373,0.000625433,0.002973158
ZNF529|57711,412.1628315,-0.403200519,0.127210149,-3.169562507,0.001526686,0.00630148
EVI2A|2123,246.2694729,-0.403373404,0.160124245,-2.51912759,0.011764602,0.034421142
TRPC6|7225,59.49214393,-0.40378663,0.141379804,-2.85604181,0.004289586,0.014892908
KBTBD10|10324,14.03550831,-0.403949507,0.147082149,-2.746421023,0.006024939,0.019813638
VASH2|79805,128.5572066,-0.404103533,0.127869198,-3.160288312,0.001576131,0.006478821
LOC100130581|100130581,101.5376028,-0.404206457,0.10219244,-3.955345967,7.64E-05,0.000499127
DDAH2|23564,3948.55947,-0.40429833,0.089432479,-4.520710317,6.16E-06,5.70E-05
PCDHGA6|56109,31.66955896,-0.404385314,0.168755072,-2.396285391,0.016562189,0.045627588
KLHL29|114818,599.0929827,-0.404486306,0.121169389,-3.33818888,0.000843264,0.003817884
NFAM1|150372,344.744812,-0.404837966,0.135148546,-2.995503686,0.00273992,0.010255085
TH1L|51497,6532.189357,-0.405107797,0.084019141,-4.821613169,1.42E-06,1.63E-05
LAIR1|3903,533.5345144,-0.405136062,0.162584036,-2.491856347,0.012707742,0.036676206
MTMR8|55613,66.93205648,-0.405378306,0.148306686,-2.733378494,0.006268825,0.020454227
THBS3|7059,752.107895,-0.405735815,0.098508803,-4.118777248,3.81E-05,0.000275679
C20orf165|128497,33.39537624,-0.405809359,0.156610857,-2.591195566,0.009564312,0.029001837
NID2|22795,1321.727654,-0.405882697,0.120947818,-3.355849683,0.000791216,0.00362242
ACTN3|89,2.598822008,-0.406069222,0.159287852,-2.549279285,0.010794582,0.032090091
APOM|55937,114.7139281,-0.406203373,0.136236045,-2.981614536,0.002867328,0.010644295
SPI1|6688,652.0875408,-0.406215329,0.145546306,-2.790969687,0.005255039,0.017697925
KCNK13|56659,31.88433188,-0.406363902,0.15538323,-2.615236541,0.008916568,0.027401772
PIGU|128869,2702.565871,-0.407187976,0.083574484,-4.872156632,1.10E-06,1.31E-05
SEMA5A|9037,2645.961513,-0.407476374,0.146099404,-2.789035146,0.005286533,0.017780034
OPRL1|4987,41.31390792,-0.407506751,0.166085219,-2.453600347,0.014143407,0.039997303
ABCC6P2|730013,115.2624862,-0.407993111,0.141574189,-2.881832574,0.003953698,0.013923677
CTSL2|1515,758.8852781,-0.408045953,0.155774448,-2.619466523,0.008806742,0.027128345
HYMAI|57061,6.40227545,-0.408646491,0.161709143,-2.527046307,0.011502633,0.033803037
LOC158572|158572,44.91029842,-0.408647454,0.111577705,-3.662447218,0.000249817,0.001375508
LOH3CR2A|29931,57.68634882,-0.408734134,0.116070878,-3.521418473,0.000429245,0.002175376
