Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
TP4_FP0,2,16,10,94,110,0.5478260869565217,0.14545454545454545,0.9166666666666666,0.6153846153846154,0.8545454545454545,0.38461538461538464,0.46078431372549017,0,0,19
TP4_FP0,3,14,10,96,110,0.5391304347826087,0.12727272727272726,0.9166666666666666,0.5833333333333334,0.8727272727272727,0.4166666666666667,0.46601941747572817,0,0,19
TP4_FP0,4,17,11,93,109,0.5478260869565217,0.15454545454545454,0.9083333333333333,0.6071428571428571,0.8454545454545455,0.39285714285714285,0.4603960396039604,0,0,19
FP=0,0,37,21,73,99,0.591304347826087,0.33636363636363636,0.825,0.6379310344827587,0.6636363636363637,0.3620689655172414,0.42441860465116277,0,0,131
FP=0,1,34,16,76,104,0.6,0.3090909090909091,0.8666666666666667,0.68,0.6909090909090909,0.32,0.4222222222222222,0,0,131
FP=0,2,29,10,81,110,0.6043478260869565,0.2636363636363636,0.9166666666666666,0.7435897435897436,0.7363636363636363,0.2564102564102564,0.42408376963350786,0,0,131
FP=0,3,29,11,81,109,0.6,0.2636363636363636,0.9083333333333333,0.725,0.7363636363636363,0.275,0.4263157894736842,0,0,131
FP=0,4,29,8,81,112,0.6130434782608696,0.2636363636363636,0.9333333333333333,0.7837837837837838,0.7363636363636363,0.21621621621621623,0.41968911917098445,0,0,131
All,0,37,16,73,104,0.6130434782608696,0.33636363636363636,0.8666666666666667,0.6981132075471698,0.6636363636363637,0.3018867924528302,0.4124293785310734,0,0,1460
All,1,38,18,72,102,0.6086956521739131,0.34545454545454546,0.85,0.6785714285714286,0.6545454545454545,0.32142857142857145,0.41379310344827586,0,0,1460
All,2,38,16,72,104,0.6173913043478261,0.34545454545454546,0.8666666666666667,0.7037037037037037,0.6545454545454545,0.2962962962962963,0.4090909090909091,0,0,1460
All,3,35,16,75,104,0.6043478260869565,0.3181818181818182,0.8666666666666667,0.6862745098039216,0.6818181818181818,0.3137254901960784,0.41899441340782123,0,0,1460
All,4,34,14,76,106,0.6086956521739131,0.3090909090909091,0.8833333333333333,0.7083333333333334,0.6909090909090909,0.2916666666666667,0.4175824175824176,0,0,1460
