Mutation,Value
LSM11,0.0
YAF2,0.0
TOX,0.0
FAM178A,0.0
FOXJ2,0.0
GAB1,0.0
TMEM60,0.0
GXYLT1,0.0
HIC2,0.0
KIAA0232,0.0
ERO1L,0.0
DLG4,0.0
BDNF,0.0
SCN3A,0.0
RAB8B,0.0
PLXND1,0.0
PHC1,0.0
LPGAT1,0.0
KIAA1919,0.0
MGAT3,0.0
GRHL3,0.0
MKNK2,0.0
PRRG1,0.0
ENO4,0.0
DENND1C,0.0
CEP41,0.0
AK2,0.0
ARF5,0.0
AGAP6,0.0
DDX3X,0.0
RGS12,0.0
REPS2,0.0
EFCAB14,0.0
RBM27,0.0
SIPA1L2,0.0
TCEAL1,0.0
MARCKS,0.0
ZNF2,0.0
USP28,0.0
ANKH,0.0
SMEK1,0.0
SLC38A2,0.0
RABL2B,0.0
PDE4A,0.0
NR2C2,0.0
LRRC57,0.0
ZNF621,0.0
LRFN5,0.0
IPO11,0.0
HELZ,0.0
MESDC1,0.0
RBM12B,0.0
DCBLD2,0.0
CEP152,0.0
BHLHE40,0.0
POU4F2,0.0
