Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
ANP32AP1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ANXA11,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
AOC1,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
AP3B2,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
APAF1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
APEH,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
APH1A,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
APLF,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
APOBR,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
APOH,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
AQP11,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
ARFGEF1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ARHGAP27,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ARHGAP31,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ARHGEF11,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ARHGEF33,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ARHGEF5,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ARL5A,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ARMC3,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ARNTL,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ARRDC3,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ARV1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ASAP1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ASB5,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ASMTL,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ASTE1,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ASTN2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ASZ1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ATAT1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATF6,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATG16L1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATG2B,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ATG3,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATG4B,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATG9B,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATHL1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATP12A,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ATP13A4,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATP1A2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATP1A4,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATP6V0A4,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATP6V0D2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ATP6V1B1,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ATP6V1B2,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ATP7A,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
ATXN10,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
ATXN1L,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ATXN7L3,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
AVIL,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
AWAT2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
B2M,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
BACH1,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
BAIAP2L1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
BANK1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BANP,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BBS10,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
BCAP29,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BCL2L11,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BDKRB2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BDP1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BGN,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
BHLHB9,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
BHMT2,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
BMP7,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
BNC2,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
BNIP3L,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
BNIP3P1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
BNIPL,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BOK,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BPIFA3,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BRD7,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BRF1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BRINP1,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
BRPF3,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BRWD1,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
BTAF1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
BTBD16,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BTG3,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
BTN2A3P,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
BTN3A2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C10orf129,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C10orf53,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
C10orf82,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C10orf90,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
C11orf70,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C12orf49,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C12orf4,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
C14orf119,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C14orf166B,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C16orf96,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
C18orf8,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
C19orf57,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C1orf162,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
C1orf213,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C20orf173,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C20orf26,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
C21orf67,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C21orf91,1,7,264,107,0.186920589,0.013505893,0.44879899,0.537081538,0.699208443,0.009259259,0.974169742,0.125,0.009259259,0.017241379
C4A,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
C4BPA,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C4orf32,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C4orf40,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C4orf45,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C5orf22,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C5orf54,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C6orf118,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C6orf222,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C6orf52,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C7orf31,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
C7orf62,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
C8orf34,1,6,265,107,0.186173125,0.010498395,0.678273887,0.675857326,0.701846966,0.009259259,0.977859779,0.142857143,0.009259259,0.017391304
C8orf59,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
C9orf169,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CA1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CAB39,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CABP1,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
CABS1,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
CABYR,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
CACNA1F,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
CADM2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CADPS,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CALCOCO1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CAMK1D,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CAMK2B,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CAPRIN2,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
CARD8,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CASC5,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CASD1,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
CASP5,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CASQ1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CATSPERG,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CBL,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CBR1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC132,1,8,263,107,0.187740804,0.016513391,0.455388362,0.426211597,0.696569921,0.009259259,0.970479705,0.111111111,0.009259259,0.017094017
CCDC140,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC141,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC146,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC148,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CCDC149,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC176,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC180,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC181,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC25,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC50,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC62,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
CCDC93,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCDC96,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCL7,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCNE1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCNK,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CCNYL1,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
CCRL2,1,6,265,107,0.186173125,0.010498395,0.678273887,0.675857326,0.701846966,0.009259259,0.977859779,0.142857143,0.009259259,0.017391304
CCT6B,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CD163,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CD19,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CD1C,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CD55,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
CDC42BPB,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CDCA7L,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CDH11,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CDH12,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
CDH15,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CDH1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CDK14,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
CDK5RAP1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CDK5RAP2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CDKN1B,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CDKN1C,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CDR2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CDX4,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
CEBPG,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CECR2,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CELF4,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CENPJ,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
CENPP,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
CEP135,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
CERS3,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CETN1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CFH,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CHAT,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CHD6,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CHORDC1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CHRNA4,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CHST4,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
CIITA,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
CITED2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CKAP4,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CKM,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CLCA4,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CLDN22,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CLTB,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CLUAP1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CLVS2,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
CMAS,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
CMC1,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
CMTR2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
CMYA5,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
CNBD1,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
